CompanyCode,Type,Market,Code,List,Last trade,Delist,Notes
04605,Note/bond 2024-10-0,HK Main,5808,2014-10-06,2019-10-08,2019-10-14,Redeemed
04605,Note/bond 2026-10-0,HK Main,5809,2014-10-06,,,
04606,PRC ordinary shares listed in HK,HK Main,0939,2005-10-27,,,
04606,A-share,Shang,601939,2007-09-25,,,
04606,Preference,HK Main,4606,2015-12-17,,,
04606,Nil-paid rights 2010-12-0,HK Main,2948,2010-11-23,2010-12-03,2010-12-06,Expired
04606,Note/bond 2019-09-3,HK Main,4564,2016-10-03,2019-09-25,2019-10-02,Expired
04606,Note/bond 2020-01-2,HK Main,5860,2015-01-21,2020-01-15,2020-01-21,Expired
04606,Note/bond 2020-05-3,HK Main,5212,2017-06-01,,,
04606,Note/bond 2020-12-0,HK Main,5049,2017-12-05,,,
04606,Note/bond 2020-12-0,HK Main,5051,2017-12-05,,,
04606,Note/bond 2021-06-0,HK Main,5111,2018-06-11,,,
04606,Note/bond 2021-09-2,HK Main,5173,2018-09-26,,,
04606,Note/bond 2021-10-2,HK Main,5711,2016-10-24,,,
04606,Note/bond 2022-06-1,HK Main,5217,2017-06-14,,,
04606,Note/bond 2022-10-2,HK Main,40027,2019-10-23,,,
04606,Note/bond 2022-12-0,HK Main,5050,2017-12-05,,,
04606,Note/bond 2023-06-0,HK Main,5112,2018-06-11,,,
04606,Note/bond 2024-10-2,HK Main,40035,2019-10-25,,,
04606,Note/bond 2024-11-1,HK Main,85998,2014-11-13,2019-11-15,2019-11-21,Redeemed
04606,Note/bond 2025-05-1,HK Main,5514,2015-05-14,,,
04606,Note/bond 2029-02-2,HK Main,5802,2019-02-28,,,
04608,PRC ordinary shares listed in HK,HK Main,3698,2013-11-12,,,
04608,Preference,HK Main,4608,2016-11-11,,,
04609,PRC ordinary shares listed in HK,HK Main,1988,2009-11-26,,,
04609,A-share,Shang,600016,2000-12-19,,,
04609,Preference,HK Main,4609,2016-12-15,,,
04609,Note/bond 2018-05-2,HK Main,5518,2015-05-22,2018-05-16,2018-05-23,Expired
